count,date,story
13,2017년 7월 1일,아 한석원쌤ㅋㅋㅋㅋ 대성 마이맥이었나,
14,2017년 3월 25일,유명한 사람들은 대성 한석원 메가 현우진 이투스 신승범 정승제,
15,2016년 3월 9일,"[깊은생각 한석원의 학습조언] 기출, 적당히 공부하면 독. 제대로 하면 약!- 2016년도 대성 마이맥 설명회: 목표가 달성되지 않으면 오늘 하루를 끝내지 않고 다시하기를 주저하지 않아야 한다.그래... http://bit.ly/1Tv6WTh ",
16,2015년 7월 22일,@Paradise_Lost_5 ㅇㅇ대성 한석원밖에 안들어서ㅋㅋ 반수는어때^^,
17,2015년 1월 8일,@GN_4U 대성 한석원 이투스 신승범 이투스 김영도 etc...,
18,2014년 12월 2일,"*수수팥떡송년회~12/6(토)오후1시반~4시반,프로그램은?
1.최민희 대표님과의 세상사는 이야기(최민희대표님)
2.나의 수학이야기 강사: 한석원 선생님 (깊은생각원장, 대성마이맥스,티치미,알파테크닉 강사)http://www.asamo.or.kr/board/board_read.asp?bbsid=free_03&b_num=65618&page=1 …",
19,2014년 8월 14일,야 대성에서 한석원 미만 잡이랜닼ㅋㅋㅋㅋㅋㅋㅋ,
20,2012년 6월 2일,I favorited a @YouTube video http://youtu.be/7hHdZPCRgb4?a  한석원 수리영역학습법 (대성티치미입시설명회 1부).wmv,
21,6월 17일,민나...싯떼루?대성마이맥에서 한석원이랑 윤도영 강좌 30일간 무료래영! 대성 강의 궁금했는데 제가 한번 들어보겠습니다!(엣헴,
22,3월 3일,앗ㅅ저도 대성프패 있어서 그냥 한석원쌤 들어요! 현우진은 저도 안 들어봐서 모르겠어요ㅠㅠ근데 전 한석원쌤 알파테크닉 생각의 질서 둘 다 너무너무 좋고 설명도 좋아서 딱히 바꿀 생각은 안 해봤어욤!,
23,2월 24일,"수학은 쓰리탑임 메가의 현우진, 이투스의 신승범, 대성의 한석원",
24,1월 31일,"ㅋ ㅋㅋ ㅋㅋㅋㅋㅋ작년 인강에 저 있어요ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꽤 여러개,,, 현강 약간 수위조절 못하셔서 타임오바하고,,잼썻읍니다.. 친구분중에 대성쓰시는분 잇으심 아이디 빌려서 한석원쌤꺼두 들어보셔요!",1
25,1월 18일,ㅅㅂㄹㅋㅋㅋㅋㅋㅋㅋzzzzzzㅋㅋㅋㅋㅋ대성이면 한석원쌤 끊엇나 ¿,
26,1월 5일,대성에 한석원이나 메가스터디에 현우진 추천드려요,
27,1월 3일,"메가요 전 팡일 들으려고 대성 끊었다가 한석원 들었네요..., 올해는 메가 끊을 것 ,,,",
